Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:14:30,9,86,10,28,,,
16:14:31,9,86,10,79,,,
16:14:32,9,86,11,223,,,
16:14:33,9,86,9,175,,,
16:14:35,9,86,11,27,,,
16:14:36,9,86,11,28,,,
16:14:37,9,86,11,237,,,
16:14:39,9,86,11,29,,,
16:14:40,9,86,11,28,,,
16:14:41,9,86,11,28,,,
16:14:43,9,86,11,137,,,
16:14:44,9,86,11,776,,,
16:14:45,9,86,11,28,,,
16:14:46,9,86,11,11,,,
16:14:48,9,86,10,29,,,
16:14:49,9,86,10,29,,,
16:14:50,9,86,10,29,,,
16:14:52,9,86,10,776,,,
16:14:53,9,86,10,28,,,
16:14:54,9,86,10,28,,,
16:14:56,9,86,11,29,,,
16:14:57,9,86,10,28,,,
16:14:58,9,86,11,28,,,
16:15:00,9,86,9,29,,,
16:15:01,9,86,10,29,,,
16:15:02,9,86,11,29,,,
16:15:03,9,86,11,134,,,
16:15:05,9,86,10,29,,,
16:15:06,9,86,10,29,,,
16:15:07,9,86,11,33,,,
16:15:09,9,86,11,29,,,
16:15:10,9,86,10,28,,,
16:15:11,9,86,11,28,,,
16:15:13,9,86,11,29,,,
16:15:14,9,86,10,28,,,
16:15:15,9,86,11,296,,,
16:15:16,9,86,11,31,,,
16:15:18,9,86,11,29,,,
16:15:19,9,86,11,29,,,
16:15:20,9,86,10,29,,,
16:15:22,9,86,11,90,,,
16:15:23,9,86,10,29,,,
16:15:24,9,86,10,29,,,
16:15:26,9,86,11,30,,,
16:15:27,9,86,11,159,,,
16:15:28,9,86,11,182,,,
16:15:29,9,86,11,30,,,
16:15:31,9,86,11,30,,,
16:15:32,9,86,10,28,,,
16:15:33,9,86,11,30,,,
16:15:35,9,86,11,29,,,
16:15:36,9,86,11,29,,,
16:15:37,9,86,11,30,,,
16:15:39,9,86,10,29,,,
16:15:40,9,86,10,30,,,
16:15:41,9,86,10,29,,,
16:15:42,9,86,10,29,,,
16:15:44,9,86,11,75,,,
16:15:45,9,86,10,28,,,
16:15:46,9,86,11,29,,,
16:15:48,9,86,11,75,,,
16:15:49,9,86,9,29,,,
16:15:50,9,86,10,30,,,
16:15:52,9,86,10,30,,,
16:15:53,9,86,10,30,,,
16:15:54,9,86,11,115,,,
16:15:55,9,86,11,164,,,
16:15:57,9,86,10,36,,,
16:15:58,9,86,10,30,,,
16:15:59,9,86,11,29,,,
16:16:01,9,86,10,31,,,
16:16:02,9,86,9,30,,,
16:16:03,9,86,11,29,,,
16:16:05,9,86,11,191,,,
16:16:06,9,86,9,31,,,
16:16:07,9,86,10,139,,,
16:16:09,9,86,9,248,,,
16:16:10,9,86,10,30,,,
16:16:11,9,86,10,645,,,
16:16:12,9,86,10,30,,,
16:16:14,9,86,10,534,,,
16:16:15,9,86,9,30,,,
16:16:16,9,86,10,170,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:16:24,9,86,11,81,,,
16:16:25,9,86,9,30,,,
16:16:27,9,86,10,201,,,
16:16:28,9,86,9,30,,,
16:16:29,9,86,10,30,,,
16:16:30,9,86,10,30,,,
16:16:32,9,86,11,30,,,
16:16:33,9,86,10,30,,,
16:16:34,9,86,10,31,,,
16:16:36,9,86,11,30,,,
16:16:37,9,86,11,31,,,
16:16:38,9,86,10,216,,,
16:16:40,9,86,10,31,,,
16:16:41,9,86,10,204,,,
16:16:42,9,86,10,117,,,
16:16:43,9,86,10,31,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:16:50,9,86,11,31,,,
16:16:52,9,85,10,31,,,
16:16:53,9,85,11,30,,,
16:16:54,9,85,10,30,,,
16:16:55,9,86,10,88,,,
16:16:57,9,85,10,31,,,
16:16:58,9,85,10,31,,,
16:16:59,9,85,10,31,,,
16:17:01,9,85,9,33,,,
16:17:02,9,85,9,30,,,
16:17:03,9,85,10,339,,,
16:17:05,9,85,11,31,,,
16:17:06,9,85,10,31,,,
16:17:07,9,85,10,31,,,
16:17:08,9,85,10,31,,,
16:17:10,9,85,9,31,,,
16:17:11,9,85,10,31,,,
16:17:12,9,85,10,31,,,
16:17:14,9,85,10,31,,,
16:17:15,9,85,11,31,,,
16:17:16,9,85,10,53,,,
16:17:18,9,85,10,31,,,
16:17:19,9,85,9,30,,,
16:17:20,9,85,10,31,,,
16:17:22,9,85,9,31,,,
16:17:23,9,85,10,31,,,
16:17:24,9,85,10,31,,,
16:17:25,9,85,11,31,,,
16:17:27,9,85,9,31,,,
16:17:28,9,85,10,31,,,
16:17:29,9,85,10,779,,,
16:17:31,9,85,9,349,,,
16:17:32,9,85,10,147,,,
16:17:33,9,85,10,31,,,
16:17:35,9,85,11,31,,,
16:17:36,9,85,10,96,,,
16:17:37,9,84,10,31,,,
16:17:38,9,84,10,92,,,
16:17:40,9,84,10,171,,,
16:17:41,9,84,9,31,,,
16:17:42,9,85,10,32,,,
16:17:44,9,84,10,233,,,
16:17:45,9,84,10,100,,,
16:17:46,9,84,10,133,,,
16:17:48,9,84,11,31,,,
16:17:49,9,84,10,270,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:18:01,9,84,11,33,,,
16:18:02,9,84,10,432,,,
16:18:04,9,85,10,32,,,
16:18:05,9,85,10,31,,,
16:18:06,9,85,9,374,,,
16:18:08,9,85,10,517,,,
16:18:09,9,85,10,71,,,
16:18:10,9,85,10,159,,,
16:18:11,9,84,10,35,,,
16:18:13,9,85,9,279,,,
16:18:14,9,84,9,348,,,
16:18:15,9,84,9,32,,,
16:18:17,9,84,9,32,,,
16:18:18,9,84,10,165,,,
16:18:19,9,84,10,758,,,
16:18:21,9,84,10,367,,,
16:18:22,9,84,10,33,,,
16:18:23,9,84,10,32,,,
16:18:24,9,85,10,33,,,
16:18:26,9,84,10,32,,,
16:18:27,9,85,9,32,,,
16:18:28,9,84,10,30,,,
16:18:30,9,85,10,33,,,
16:18:31,9,84,10,33,,,
16:18:32,9,84,9,102,,,
16:18:34,9,84,10,33,,,
16:18:35,9,84,10,263,,,
16:18:36,9,85,10,38,,,
Timestamp,Temperature,Humid,AQ_value,Sound_value,,,
16:18:42,9,85,11,32,,,
16:18:44,9,85,10,33,,,
16:18:45,9,85,10,32,,,
16:18:46,9,85,10,117,,,
16:18:48,9,85,10,780,,,
16:18:49,9,85,9,33,,,
16:18:50,9,85,9,9,,,
16:18:52,9,85,10,33,,,
16:18:53,9,85,9,185,,,
16:18:54,9,85,9,155,,,
16:18:55,9,85,10,33,,,
16:18:57,9,85,9,32,,,
16:18:58,9,85,10,33,,,
16:18:59,9,85,10,33,,,
